2025-06-13T12:13:57.015Z, VK6QS, 40m, SSB, 59010, 59020, "", 0
2025-06-13T13:31:25.922Z, VK6QS, 80m, SSB, 59010, , "", 0
2025-06-13T13:32:23.419Z, VK7EE, 80m, SSB, 59010, , "", 0
2025-06-13T14:43:41.639Z, VK6QJ, 40m, SSB, 59010, 590023, "", 0
2025-06-13T15:14:36.769Z, VK6EE, 20m, SSB, 59010, 59004, "", 0
2025-06-13T15:14:49.843Z, VK6WW, 20m, SSB, 59010, 59044, "", 0
2025-06-13T15:23:21.571Z, ZL1DD, 40m, SSB, 59010, 59023, "", 1
2025-06-13T15:27:30.438Z, ZM2WE, 40m, SSB, 59010, 59003, "", 1
2025-06-13T15:27:50.412Z, ZL3ED, 40m, SSB, 59010, 59045, "", 1
2025-06-13T15:29:27.342Z, ZL7HH, 40m, SSB, 59010, 59056, "", 1
2025-06-13T15:31:12.933Z, VK6YY, 40m, SSB, 59010, 59060, "", 1
2025-06-13T15:32:48.866Z, VK7YY, 40m, SSB, 59010, 59067, "", 1
2025-06-13T15:33:33.780Z, VK8WE, 40m, SSB, 59010, 59045, "", 1
2025-06-13T15:34:17.539Z, DFDF, 40m, SSB, 59010, 50786, "", 1
2025-06-13T15:35:04.252Z, VK7TT, 40m, SSB, 59010, 57045, "", 1
2025-06-13T15:42:59.438Z, VK6TT, 40m, SSB, 59010, 58005, "", 0
2025-06-13T15:43:16.103Z, VK6YU, 40m, SSB, 59010, 67004, "", 0
2025-06-13T15:44:55.833Z, VK6TTE, 40m, SSB, 59010, 58005, "", 1
2025-06-13T16:04:32.089Z, VK6QJ, 40m, SSB, 59010, 590023, "", 1
2025-06-13T16:05:19.405Z, VK6QS, 40m, SSB, 59010, 59020, "", 1
