2025-06-17T13:13:09.247Z, vk6dd, 40m, SSB, 59011, 59034, "", 0
2025-06-17T13:13:09.249Z, vk6dd, 40m, SSB, 59011, 59034, "", 0
2025-06-17T13:17:25.569Z, vk6ww, 80m, SSB, 59011, 59067, "", 0
2025-06-17T13:17:25.570Z, vk6ww, 80m, SSB, 59011, 59067, "", 0
2025-06-17T13:17:45.833Z, vk6rr, 80m, SSB, 59011, 59034, "", 0
2025-06-17T13:17:45.834Z, vk6rr, 80m, SSB, 59011, 59034, "", 0
2025-06-17T13:18:51.019Z, vk7yy, 80m, SSB, 59011, 59034, "", 0
2025-06-17T13:18:51.020Z, vk7yy, 80m, SSB, 59011, 59034, "", 0
2025-06-17T13:23:34.292Z, vk7wrr, 80m, SSB, 59011, 58000, "", 0
2025-06-17T13:23:34.292Z, vk7wrr, 80m, SSB, 59011, 58000, "", 0
2025-06-17T13:32:19.643Z, vk6stm, 80m, SSB, 59011, 59034, "", 0
2025-06-17T13:32:19.643Z, vk6stm, 80m, SSB, 59011, 59034, "", 0
2025-06-17T14:25:13.459Z, vk6wer, 160m, SSB, 59011, 59045, "raining
", 0
2025-06-17T14:25:13.461Z, vk6wer, 160m, SSB, 59011, 59045, "raining
", 0
2025-06-17T14:42:35.446Z, vk6qs, 80m, SSB, 59012, 59067, "matthew", 0
2025-06-17T14:42:35.447Z, vk6qs, 80m, SSB, 59012, 59067, "matthew", 0
